Lollipop,Aqua,3:39
Motivation,SUM 41,2:51
Dark Side,Kelly Clarkson,3:44
Never Know,Jack Johnson,3:32
Stay The Night,James Blunt,3:36
Sleep With You,Egil Olsen,2:24
I'm Yours,Jason Mraz,4:05
Dream Catch Me,Newton Faulkner,4:00
The Life And Death Of Mr. Badmouth,Pj Harvey,4:50
You Are My Sunshine,Carly Simon,2:36
Fuel ,Metallica,4:32
The One That Got Away,Katy Perry,3:51
Don'T Cry,Guns N' Roses,4:48
The Water Is Wide,James Taylor,3:02
Maybe I'Ll Go,Lene Marlin,4:41
Spaceship,Kanye West,5:29
Right Next To The Right One,Tim Christensen,4:12
On Top Of The World,Imagine Dragons,8:27
Mondo Bongo,Joe Strummer & The Mescaleros,6:13
What Are You,David Gray,3:12
Rootless Tree,Damien Rice,4:23
Costume Makes The Clown,Shakira,3:12
Over The Way,»Æ½¨Îª,4:31
In The Dark,Shelley Harland,3:18
God Is A Girl,Groove Coverage,3:45
Maybe California,Tori Amos,4:25
You Know What You Are_,Nine Inch Nails,3:42
I Bruise Easily,Natasha Bedingfield,4:13
All The Way,Craig David,3:42
Rid Of Me,Pj Harvey,4:29
You Took My Heart Away,Michael Learns To Rock,4:34
She'S The One,Robbie Williams,4:22
Holiday In My Head,Smash Mouth,2:46
All About Your Heart,Mindy Gledhill,4:09
Hard Believer,First Aid Kit,3:46
Shock Me Into Love,Lenka,3:29
Brick,Ben Folds Five,4:32
Music Box,Eminem,5:10
You Just May Be The One,The Monkees,2:02
Whenever Wherever,Shakira,3:17
Iyiyi (Feat. Flo Rida),Cody Simpson,3:55
A Good Day (Morning Song),Priscilla Ahn,3:26
Never Gonna Love Again,Lykke Li,4:00
It's All Okay,Julia Stone,3:54
The Enemy (Album Version),Roadrunner United,4:45
Happily Never After,The Pussycat Dolls,4:49
Little Talks,Of Monsters and Men,3:34
Caskets,Damien Jurado,2:58
The Day You Went Away,M2M,3:44
Plage,crystal fighters,3:51
Sunrise,Norah Jones,3:23
I Feel Like Going Home,Muddy Waters,3:42
Lonely Girls,Lucinda Williams,4:02
He Will Carry Me,Mark Schultz,4:32
Jumpdafuckup (Album Version),Soulfly,5:11
Worry About You,Ivy,4:03
May It Be,Enya,3:36
Lunchbox,Marilyn Manson,4:34
At Or With Me,Jack Johnson,3:58
½_­»,©PªN­Û,4:32
§i¥Õ®ð²y,©PªN­Û,5:11
¥H¤÷¤§¦W,©PªN­Û,4:03
©]¦±,©PªN­Û,3:36
¤û¥J«Ü¦£,©PªN­Û,4:34
¥»¯óºõ¥Ø,©PªN­Û,3:58
¤jÄ«ªG,¤j­»¿¼,5:05
